Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
62919174,Their Vicious Games,Joelle Wellington,"Wellington, Joelle",,"=""1665922427""","=""9781665922425""",0,3.96,Simon & Schuster Books for Young Readers,Hardcover,416,2023,2023,,2023/04/07,to-read,to-read (#23),to-read,,,,0,0
59808487,Starry Messenger: Cosmic Perspectives on Civilization,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""1250861500""","=""9781250861504""",0,4.11,Henry Holt and Co.,Hardcover,271,2022,2022,,2023/03/20,to-read,to-read (#22),to-read,,,,0,0
32191710,Astrophysics for People in a Hurry,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""0393609391""","=""9780393609394""",0,4.08,W. W. Norton & Company,Hardcover,223,2017,2017,,2023/03/20,to-read,to-read (#21),to-read,,,,0,0
20663771,Origins: Fourteen Billion Years of Cosmic Evolution,Neil deGrasse Tyson,"Tyson, Neil deGrasse",Donald Goldsmith,"=""0393350398""","=""9780393350395""",0,4.14,W. W. Norton & Company,Paperback,352,2014,2004,,2023/03/20,to-read,to-read (#20),to-read,,,,0,0
20663770,Death by Black Hole: And Other Cosmic Quandaries,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""039335038X""","=""9780393350388""",0,4.10,W. W. Norton & Company,Paperback,384,2014,2006,,2023/03/20,to-read,to-read (#19),to-read,,,,0,0
50131136,"Atlas of AI: Power, Politics, and the Planetary Costs of Artificial Intelligence",Kate Crawford,"Crawford, Kate",,"=""0300209576""","=""9780300209570""",0,3.96,Yale University Press,ebook,288,2020,2020,,2023/03/20,to-read,to-read (#18),to-read,,,,0,0
26082916,"Ready Player Two (Ready Player One, #2)",Ernest Cline,"Cline, Ernest",,"=""1524761338""","=""9781524761332""",0,3.44,Ballantine Books,Hardcover,370,2020,2020,,2023/03/17,to-read,to-read (#17),to-read,,,,0,0
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",0,4.23,Crown Publishers,Hardcover,480,2011,2011,,2023/03/17,to-read,to-read (#16),to-read,,,,0,0
36039329,Autonomy: The Quest to Build the Driverless Car—And How It Will Reshape Our World,Lawrence D. Burns,"Burns, Lawrence D.",Christopher Shulgan,"=""0062661140""","=""9780062661142""",0,4.13,Ecco,Kindle Edition,353,2018,2018,,2023/02/27,to-read,to-read (#15),to-read,,,,0,0
61343296,Dear Dolly,Dolly Alderton,"Alderton, Dolly",,"=""0241623642""","=""9780241623640""",0,3.80,Fig Tree,Hardcover,224,2022,2022,,2023/01/07,to-read,to-read (#14),to-read,,,,0,0
60784552,You Wouldn't Dare,Samantha Markum,"Markum, Samantha",,"=""1250846781""","=""9781250846785""",0,3.74,Wednesday Books,Hardcover,368,2023,2023,,2023/01/07,to-read,to-read (#13),to-read,,,,0,0
60190659,"What If? 2: Additional Serious Scientific Answers to Absurd Hypothetical Questions (What If?, #2)",Randall Munroe,"Munroe, Randall",,"=""0525537112""","=""9780525537113""",0,4.37,Riverhead Books,Hardcover,354,2022,2022,,2022/12/08,to-read,to-read (#12),to-read,,,,0,0
56554281,This Woven Kingdom (This Woven Kingdom #1),Tahereh Mafi,"Mafi, Tahereh",,"=""0062972464""","=""9780062972460""",0,3.95,HarperCollins,ebook,512,2022,2022,,2022/12/08,to-read,to-read (#11),to-read,,,,0,0
57190453,"Foul Lady Fortune (Foul Lady Fortune, #1)",Chloe Gong,"Gong, Chloe",,"=""""","=""""",0,4.22,Margaret K. McElderry Books,Kindle Edition,528,2022,2022,,2022/12/08,to-read,to-read (#10),to-read,,,,0,0
43306206,"The Courage to Be Disliked: How to Free Yourself, Change your Life and Achieve Real Happiness",Ichiro Kishimi,"Kishimi, Ichiro",Fumitake Koga,"=""""","=""""",0,3.95,Allen & Unwin,Paperback,288,2019,2013,,2022/11/29,to-read,to-read (#9),to-read,,,,0,0
9547888,Attached: The New Science of Adult Attachment and How It Can Help You Find—and Keep—Love,Amir Levine,"Levine, Amir",Rachel Heller,"=""1585428485""","=""9781585428489""",0,4.14,Tarcher,Hardcover,304,2010,2010,,2022/11/29,to-read,to-read (#8),to-read,,,,0,0
58330567,Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,"Brown, Brené",Gavin Aung Than,"=""0399592555""","=""9780399592553""",0,4.33,Random House,Hardcover,301,2021,2021,,2022/11/29,to-read,to-read (#7),to-read,,,,0,0
32075854,"Magpie Murders (Susan Ryeland, #1)",Anthony Horowitz,"Horowitz, Anthony",,"=""0062645226""","=""9780062645227""",0,3.95,Harper,Hardcover,477,2017,2016,,2022/11/28,to-read,to-read (#6),to-read,,,,0,0
51791252,The Vanishing Half,Brit Bennett,"Bennett, Brit",,"=""0525536299""","=""9780525536291""",0,4.13,Riverhead Books,Hardcover,343,2020,2020,,2022/11/28,to-read,to-read (#5),to-read,,,,0,0
20708942,"Devotion: An Epic Story of Heroism, Friendship, and Sacrifice",Adam Makos,"Makos, Adam",,"=""0804176582""","=""9780804176583""",0,4.51,Ballantine Books,Hardcover,464,2015,2014,,2022/11/22,to-read,to-read (#4),to-read,,,,0,0
30753738,The Choice: Embrace the Possible,Edith Eger,"Eger, Edith",,"=""1501130781""","=""9781501130786""",0,4.58,Scribner,Hardcover,289,2017,2017,,2022/11/06,to-read,to-read (#3),to-read,,,,0,0
28789711,SPQR: A History of Ancient Rome,Mary Beard,"Beard, Mary",,"=""1631492225""","=""9781631492228""",0,4.06,Liveright,Paperback,606,2016,2015,,2022/11/05,to-read,to-read (#2),to-read,,,,0,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.35,Vintage,Paperback,512,2015,2011,,2022/11/05,to-read,to-read (#1),to-read,,,,0,0
